País,Estado,Poblacion,Hombre,Mujeres
USA,Alaska,732831,386649,346182
USA,Alabama,5.074.296,2685037,2389259
USA,Arkansas,3.045.637,1491632,1554005.
USA,Arizona,7.359.197,3148883,4210314
USA,California,39.029.342,19708947,19320395.
USA,Colorado,5.839.926,2927588,2912338.
USA,Connecticut,3.626.205,1769196,1857009.
USA,Delaware,1.018.396,482906,535490
USA,Florida,22.244.823,10646786,11598037
USA,Georgia,10.912.876,4901684,6011192.
USA,Hawaii,1.441.553,732060,709493.
USA,Iowa,3.200.517,1718144,1482373
USA,Texas, 29008362,14659648,14348714
USA,Washington,7926128, 4115497, 3810631
USA,Idaho,1.939.033,933728,1005305.
USA,Illinois,13220742,6540675,6680067 
USA,Indiana,6485635,3208627,3277008 
USA,Kansas,2836856,1403473,1433383 
USA,Kentucky,4353550,2153824,2199726 
USA,louisiana,4674281, 2312498,2361782
USA,Massachusetts,6658997,3294394,3364602 
USA,Maryland,5821449,2880035,2941414 
USA,Maine,1371994,678764,693229 
USA,Michigan,10229901,5061021,5168879 
USA,Minnesota,5322246,2633065,2689180 
USA,Missouri,5970401,2953725,3016674 
USA,Mississippi,3003102,1485719,1517382 
USA,Montana,963330,476587,486743 
USA,North Carolina,10855830,5370685,5485143 
USA,North Dakota,652636,322877,329758 
USA,Nebraska,1819019,899919,919098 
USA,New Hampshire,1362366,674000,688365 
USA,New Jersey,9058289,4481391,4576897 
USA,New Mexico,1979748,979437,1000311
USA,Nevada,2483667,1228739,1254926 
USA,New York,19950062,9869859,10080202 
USA,Ohio,11869197 ,5872028,5997169 
USA,Oklahoma,3671419,1816355,1855064 
USA,Oregon,3770651,1865447,1905203 
USA,Pennsylvania,12876831,6370532,6506298 
USA,Rhode Island,1087118,537827,549290 
USA,South Carolina, 4378154,2165996,2212157 
USA,South Dakota,797189,394392,402797 
USA,Tennessee,6143203,3039215,3103986 
USA,Utah,2512450,1242980,1269469 
USA,Virginia,7910869,3913730,3997137 
USA,Vermont,646397,319791,326606 
USA,Wisconsin,5729249,2834421,2894827 
USA,West Virginia ,1881611,930886,950725 
USA,Wyoming,523645,259061,264583 

